"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ribosome biogenesis","ribosome biogenesis","ribosome biogenesis","92/1542","177/35106",0.519774011299435,11.8334542416848,30.9706506746978,2.70206269485362e-76,4.45840344650847e-74,3.38468905986927e-74,"HORVU.MOREX.r3.1HG0014620/HORVU.MOREX.r3.1HG0019380/HORVU.MOREX.r3.1HG0060300/HORVU.MOREX.r3.1HG0069950/HORVU.MOREX.r3.1HG0084340/HORVU.MOREX.r3.1HG0084680/HORVU.MOREX.r3.1HG0086250/HORVU.MOREX.r3.1HG0086720/HORVU.MOREX.r3.1HG0089590/HORVU.MOREX.r3.1HG0093090/HORVU.MOREX.r3.1HG0095090/HORVU.MOREX.r3.2HG0110720/HORVU.MOREX.r3.2HG0114930/HORVU.MOREX.r3.2HG0116060/HORVU.MOREX.r3.2HG0116280/HORVU.MOREX.r3.2HG0120200/HORVU.MOREX.r3.2HG0127540/HORVU.MOREX.r3.2HG0141000/HORVU.MOREX.r3.2HG0142760/HORVU.MOREX.r3.2HG0191430/HORVU.MOREX.r3.2HG0194250/HORVU.MOREX.r3.2HG0195080/HORVU.MOREX.r3.2HG0196300/HORVU.MOREX.r3.2HG0196710/HORVU.MOREX.r3.2HG0197290/HORVU.MOREX.r3.2HG0202400/HORVU.MOREX.r3.2HG0209150/HORVU.MOREX.r3.2HG0214620/HORVU.MOREX.r3.3HG0229250/HORVU.MOREX.r3.3HG0232850/HORVU.MOREX.r3.3HG0237720/HORVU.MOREX.r3.3HG0250210/HORVU.MOREX.r3.3HG0280990/HORVU.MOREX.r3.3HG0295660/HORVU.MOREX.r3.3HG0295850/HORVU.MOREX.r3.3HG0306670/HORVU.MOREX.r3.4HG0332160/HORVU.MOREX.r3.4HG0335750/HORVU.MOREX.r3.4HG0341160/HORVU.MOREX.r3.4HG0344470/HORVU.MOREX.r3.4HG0349380/HORVU.MOREX.r3.4HG0375670/HORVU.MOREX.r3.4HG0377890/HORVU.MOREX.r3.4HG0379010/HORVU.MOREX.r3.4HG0383540/HORVU.MOREX.r3.4HG0398810/HORVU.MOREX.r3.4HG0411190/HORVU.MOREX.r3.4HG0411240/HORVU.MOREX.r3.5HG0420730/HORVU.MOREX.r3.5HG0423800/HORVU.MOREX.r3.5HG0430390/HORVU.MOREX.r3.5HG0446440/HORVU.MOREX.r3.5HG0454500/HORVU.MOREX.r3.5HG0455100/HORVU.MOREX.r3.5HG0461960/HORVU.MOREX.r3.5HG0466770/HORVU.MOREX.r3.5HG0480210/HORVU.MOREX.r3.5HG0488110/HORVU.MOREX.r3.5HG0488130/HORVU.MOREX.r3.5HG0493910/HORVU.MOREX.r3.5HG0505300/HORVU.MOREX.r3.5HG0508060/HORVU.MOREX.r3.5HG0519230/HORVU.MOREX.r3.5HG0520790/HORVU.MOREX.r3.5HG0528860/HORVU.MOREX.r3.5HG0530580/HORVU.MOREX.r3.6HG0544400/HORVU.MOREX.r3.6HG0550880/HORVU.MOREX.r3.6HG0579150/HORVU.MOREX.r3.6HG0589890/HORVU.MOREX.r3.6HG0591300/HORVU.MOREX.r3.6HG0628850/HORVU.MOREX.r3.6HG0630670/HORVU.MOREX.r3.7HG0643180/HORVU.MOREX.r3.7HG0647360/HORVU.MOREX.r3.7HG0648330/HORVU.MOREX.r3.7HG0654170/HORVU.MOREX.r3.7HG0661600/HORVU.MOREX.r3.7HG0667910/HORVU.MOREX.r3.7HG0683960/HORVU.MOREX.r3.7HG0689220/HORVU.MOREX.r3.7HG0696930/HORVU.MOREX.r3.7HG0699910/HORVU.MOREX.r3.7HG0710080/HORVU.MOREX.r3.7HG0712780/HORVU.MOREX.r3.7HG0712920/HORVU.MOREX.r3.7HG0715150/HORVU.MOREX.r3.7HG0719480/HORVU.MOREX.r3.7HG0722670/HORVU.MOREX.r3.7HG0738150/HORVU.MOREX.r3.7HG0745010/HORVU.MOREX.r3.7HG0747280",92
"tRNA modification","tRNA modification","tRNA modification","26/1542","71/35106",0.366197183098592,8.33704170548583,13.2644400272746,1.09255390126315e-17,9.013569685421e-16,6.84283759212184e-16,"HORVU.MOREX.r3.1HG0030120/HORVU.MOREX.r3.2HG0095990/HORVU.MOREX.r3.2HG0100410/HORVU.MOREX.r3.2HG0113530/HORVU.MOREX.r3.2HG0123800/HORVU.MOREX.r3.2HG0129410/HORVU.MOREX.r3.2HG0141420/HORVU.MOREX.r3.2HG0199540/HORVU.MOREX.r3.3HG0224710/HORVU.MOREX.r3.3HG0228010/HORVU.MOREX.r3.3HG0240520/HORVU.MOREX.r3.4HG0380310/HORVU.MOREX.r3.4HG0388500/HORVU.MOREX.r3.4HG0399920/HORVU.MOREX.r3.4HG0412180/HORVU.MOREX.r3.4HG0417170/HORVU.MOREX.r3.5HG0468620/HORVU.MOREX.r3.5HG0482090/HORVU.MOREX.r3.5HG0488150/HORVU.MOREX.r3.5HG0488290/HORVU.MOREX.r3.5HG0510120/HORVU.MOREX.r3.5HG0513920/HORVU.MOREX.r3.5HG0518530/HORVU.MOREX.r3.5HG0529430/HORVU.MOREX.r3.6HG0614630/HORVU.MOREX.r3.7HG0726560",26
"spliceosome-mediated pre-mRNA splicing","spliceosome-mediated pre-mRNA splicing","spliceosome-mediated pre-mRNA splicing","39/1542","205/35106",0.190243902439024,4.3311948372402,10.2529266221407,9.07357455746814e-15,4.99046600660748e-13,3.78861534153933e-13,"HORVU.MOREX.r3.1HG0025350/HORVU.MOREX.r3.1HG0032760/HORVU.MOREX.r3.1HG0041060/HORVU.MOREX.r3.1HG0078510/HORVU.MOREX.r3.2HG0096530/HORVU.MOREX.r3.2HG0119160/HORVU.MOREX.r3.2HG0149820/HORVU.MOREX.r3.2HG0168890/HORVU.MOREX.r3.2HG0180950/HORVU.MOREX.r3.3HG0248300/HORVU.MOREX.r3.3HG0252620/HORVU.MOREX.r3.3HG0259260/HORVU.MOREX.r3.3HG0323480/HORVU.MOREX.r3.4HG0334380/HORVU.MOREX.r3.4HG0334460/HORVU.MOREX.r3.4HG0355850/HORVU.MOREX.r3.4HG0359330/HORVU.MOREX.r3.4HG0369460/HORVU.MOREX.r3.4HG0375880/HORVU.MOREX.r3.4HG0377830/HORVU.MOREX.r3.4HG0411750/HORVU.MOREX.r3.4HG0414480/HORVU.MOREX.r3.4HG0416540/HORVU.MOREX.r3.5HG0467490/HORVU.MOREX.r3.5HG0495740/HORVU.MOREX.r3.5HG0534960/HORVU.MOREX.r3.5HG0535750/HORVU.MOREX.r3.6HG0541540/HORVU.MOREX.r3.6HG0557080/HORVU.MOREX.r3.6HG0588960/HORVU.MOREX.r3.6HG0623090/HORVU.MOREX.r3.7HG0644530/HORVU.MOREX.r3.7HG0650310/HORVU.MOREX.r3.7HG0687080/HORVU.MOREX.r3.7HG0689490/HORVU.MOREX.r3.7HG0705220/HORVU.MOREX.r3.7HG0741190/HORVU.MOREX.r3.7HG0748410/HORVU.MOREX.r3.7HG0752950",39
"actin and tubulin folding","actin and tubulin folding","actin and tubulin folding","15/1542","29/35106",0.517241379310345,11.7757949818865,12.443052023971,1.7733960714936e-13,7.3152587949111e-12,5.55352980283522e-12,"HORVU.MOREX.r3.1HG0050160/HORVU.MOREX.r3.1HG0055300/HORVU.MOREX.r3.2HG0150100/HORVU.MOREX.r3.2HG0201840/HORVU.MOREX.r3.3HG0237910/HORVU.MOREX.r3.3HG0240560/HORVU.MOREX.r3.4HG0370780/HORVU.MOREX.r3.4HG0397450/HORVU.MOREX.r3.4HG0408050/HORVU.MOREX.r3.5HG0422600/HORVU.MOREX.r3.5HG0502130/HORVU.MOREX.r3.6HG0564480/HORVU.MOREX.r3.6HG0630550/HORVU.MOREX.r3.7HG0662210/HORVU.MOREX.r3.7HG0717720",15
"translation initiation","translation initiation","translation initiation","18/1542","59/35106",0.305084745762712,6.94572314185847,9.7970445656566,3.90728427252635e-11,1.2894038099337e-09,9.78877533538181e-10,"HORVU.MOREX.r3.1HG0077420/HORVU.MOREX.r3.2HG0108540/HORVU.MOREX.r3.3HG0224450/HORVU.MOREX.r3.4HG0370630/HORVU.MOREX.r3.4HG0384040/HORVU.MOREX.r3.5HG0439040/HORVU.MOREX.r3.5HG0456970/HORVU.MOREX.r3.5HG0468290/HORVU.MOREX.r3.5HG0482220/HORVU.MOREX.r3.5HG0490320/HORVU.MOREX.r3.5HG0508180/HORVU.MOREX.r3.5HG0513560/HORVU.MOREX.r3.6HG0548940/HORVU.MOREX.r3.6HG0551860/HORVU.MOREX.r3.6HG0592920/HORVU.MOREX.r3.6HG0622490/HORVU.MOREX.r3.6HG0628240/HORVU.MOREX.r3.7HG0711390",18
"organellar translation machinery","organellar translation machinery","organellar translation machinery","21/1542","97/35106",0.216494845360825,4.92883789963496,8.30519711036143,1.11736233967752e-09,3.07274643411318e-08,2.33273891967763e-08,"HORVU.MOREX.r3.1HG0056230/HORVU.MOREX.r3.2HG0114570/HORVU.MOREX.r3.2HG0127140/HORVU.MOREX.r3.2HG0177450/HORVU.MOREX.r3.3HG0247050/HORVU.MOREX.r3.3HG0290660/HORVU.MOREX.r3.3HG0294190/HORVU.MOREX.r3.3HG0305790/HORVU.MOREX.r3.4HG0337220/HORVU.MOREX.r3.5HG0421560/HORVU.MOREX.r3.5HG0531550/HORVU.MOREX.r3.5HG0534640/HORVU.MOREX.r3.5HG0535460/HORVU.MOREX.r3.6HG0542950/HORVU.MOREX.r3.6HG0593260/HORVU.MOREX.r3.6HG0593640/HORVU.MOREX.r3.6HG0596990/HORVU.MOREX.r3.7HG0643190/HORVU.MOREX.r3.7HG0674340/HORVU.MOREX.r3.7HG0712610/HORVU.MOREX.r3.7HG0738670",21
"DNA replication","DNA replication","DNA replication","23/1542","122/35106",0.188524590163934,4.29205205077502,7.80731488574374,3.22743664135434e-09,7.60752922604952e-08,5.7754129371604e-08,"HORVU.MOREX.r3.1HG0005370/HORVU.MOREX.r3.1HG0038170/HORVU.MOREX.r3.1HG0085420/HORVU.MOREX.r3.2HG0123420/HORVU.MOREX.r3.2HG0187470/HORVU.MOREX.r3.2HG0206920/HORVU.MOREX.r3.3HG0252970/HORVU.MOREX.r3.3HG0275170/HORVU.MOREX.r3.3HG0292560/HORVU.MOREX.r3.3HG0298200/HORVU.MOREX.r3.3HG0299370/HORVU.MOREX.r3.3HG0305240/HORVU.MOREX.r3.3HG0319320/HORVU.MOREX.r3.3HG0319950/HORVU.MOREX.r3.4HG0347060/HORVU.MOREX.r3.4HG0385890/HORVU.MOREX.r3.5HG0471060/HORVU.MOREX.r3.5HG0517610/HORVU.MOREX.r3.5HG0535000/HORVU.MOREX.r3.6HG0564520/HORVU.MOREX.r3.6HG0567530/HORVU.MOREX.r3.6HG0617940/HORVU.MOREX.r3.7HG0721820",23
"RNA pseudouridylation","RNA pseudouridylation","RNA pseudouridylation","10/1542","24/35106",0.416666666666667,9.48605706874189,8.91372468683793,2.89572163326134e-08,5.732047908938e-07,4.35160255925756e-07,"HORVU.MOREX.r3.1HG0067270/HORVU.MOREX.r3.1HG0078760/HORVU.MOREX.r3.2HG0121300/HORVU.MOREX.r3.2HG0121320/HORVU.MOREX.r3.2HG0188110/HORVU.MOREX.r3.3HG0233670/HORVU.MOREX.r3.4HG0385210/HORVU.MOREX.r3.5HG0467500/HORVU.MOREX.r3.6HG0602680/HORVU.MOREX.r3.6HG0611730",10
"aminoacyl-tRNA formation","aminoacyl-tRNA formation","aminoacyl-tRNA formation","13/1542","44/35106",0.295454545454545,6.72647683056243,8.14676751083245,3.12657158669345e-08,5.732047908938e-07,4.35160255925756e-07,"HORVU.MOREX.r3.1HG0021330/HORVU.MOREX.r3.1HG0022680/HORVU.MOREX.r3.3HG0229650/HORVU.MOREX.r3.3HG0237450/HORVU.MOREX.r3.4HG0399210/HORVU.MOREX.r3.5HG0447730/HORVU.MOREX.r3.5HG0467810/HORVU.MOREX.r3.5HG0480320/HORVU.MOREX.r3.5HG0519720/HORVU.MOREX.r3.6HG0619760/HORVU.MOREX.r3.7HG0685290/HORVU.MOREX.r3.7HG0701140/HORVU.MOREX.r3.7HG0744860",13
"translation elongation","translation elongation","translation elongation","10/1542","28/35106",0.357142857142857,8.13090605892162,8.09088704828756,1.64925617293894e-07,2.72127268534926e-06,2.0659103639972e-06,"HORVU.MOREX.r3.2HG0107850/HORVU.MOREX.r3.4HG0343180/HORVU.MOREX.r3.4HG0385270/HORVU.MOREX.r3.5HG0448610/HORVU.MOREX.r3.5HG0468500/HORVU.MOREX.r3.5HG0514790/HORVU.MOREX.r3.5HG0529130/HORVU.MOREX.r3.5HG0529140/HORVU.MOREX.r3.6HG0628940/HORVU.MOREX.r3.7HG0735200",10
