"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"endoplasmic reticulum-localized fatty acid elongase (FAE) system","endoplasmic reticulum-localized fatty acid elongase (FAE) system","endoplasmic reticulum-localized fatty acid elongase (FAE) system","5/114","79/35106",0.0632911392405063,19.4903397734843,9.39094933898533,6.15066011468781e-06,0.000289081025390327,0.000135961960429941,"HORVU.MOREX.r3.2HG0191470/HORVU.MOREX.r3.4HG0401580/HORVU.MOREX.r3.4HG0405320/HORVU.MOREX.r3.6HG0628580/HORVU.MOREX.r3.7HG0639840",5
"export","export","export","2/114","5/35106",0.4,123.178947368421,15.5945974335533,0.000103862661726459,0.00244077255057179,0.00114795573487139,"HORVU.MOREX.r3.1HG0032470/HORVU.MOREX.r3.2HG0183620",2
"IRE1-bZIP60 pathway","IRE1-bZIP60 pathway","IRE1-bZIP60 pathway","2/114","25/35106",0.08,24.6357894736842,6.74771399520926,0.00298636562222332,0.0381558707913188,0.0179456503161858,"HORVU.MOREX.r3.3HG0246070/HORVU.MOREX.r3.3HG0246080",2
"Plant BURP-domain peptide cyclase *(RD22)","Plant BURP-domain peptide cyclase *(RD22)","Plant BURP-domain peptide cyclase *(RD22)","1/114","1/35106",1,307.947368421053,17.5199134821224,0.00324730815245267,0.0381558707913188,0.0179456503161858,"HORVU.MOREX.r3.3HG0286930",1
"TOC-type transporter superfamily","TOC-type transporter superfamily","TOC-type transporter superfamily","2/114","32/35106",0.0625,19.2467105263158,5.89412652245354,0.00486487685543869,0.0457298424411237,0.0215078766240447,"HORVU.MOREX.r3.1HG0066620/HORVU.MOREX.r3.5HG0428260",2
"EC_2-4 glycosyltransferase","EC_2-4 glycosyltransferase","EC_2-4 glycosyltransferase","4/114","238/35106",0.0168067226890756,5.17558602388324,3.68930811104366,0.00768503979006672,0.0601994783555226,0.0283133044897195,"HORVU.MOREX.r3.1HG0053610/HORVU.MOREX.r3.7HG0728710/HORVU.MOREX.r3.7HG0728750/HORVU.MOREX.r3.7HG0728760",4
"spliceosome-associated non-snRNP factor activities","spliceosome-associated non-snRNP factor activities","spliceosome-associated non-snRNP factor activities","2/114","44/35106",0.0454545454545455,13.9976076555024,4.92406696277543,0.00904653180701373,0.0607409992756636,0.0285679951800434,"HORVU.MOREX.r3.3HG0281700/HORVU.MOREX.r3.4HG0389540",2
"alpha-galactosidase *(AGAL)","alpha-galactosidase *(AGAL)","alpha-galactosidase *(AGAL)","1/114","4/35106",0.25,76.9868421052632,8.67471054915343,0.0129266490565252,0.065217185356556,0.0306732562707206,"HORVU.MOREX.r3.1HG0046170",1
"aspartate aminotransferase *(ASP)","aspartate aminotransferase *(ASP)","aspartate aminotransferase *(ASP)","1/114","4/35106",0.25,76.9868421052632,8.67471054915343,0.0129266490565252,0.065217185356556,0.0306732562707206,"HORVU.MOREX.r3.7HG0718900",1
"hydroxyproline-rich glycoprotein activities","hydroxyproline-rich glycoprotein activities","hydroxyproline-rich glycoprotein activities","2/114","55/35106",0.0363636363636364,11.1980861244019,4.32018500486735,0.0138759968843736,0.065217185356556,0.0306732562707206,"HORVU.MOREX.r3.1HG0070090/HORVU.MOREX.r3.5HG0522020",2
"TKL protein kinase activities","TKL protein kinase activities","TKL protein kinase activities","6/114","623/35106",0.00963081861958266,2.96578524964096,2.82572637803271,0.0162523086244435,0.0694416823044403,0.0326601417333314,"HORVU.MOREX.r3.2HG0207630/HORVU.MOREX.r3.3HG0235770/HORVU.MOREX.r3.3HG0252000/HORVU.MOREX.r3.5HG0518200/HORVU.MOREX.r3.6HG0590590/HORVU.MOREX.r3.6HG0596130",6
"cuticular lipid formation","cuticular lipid formation","cuticular lipid formation","2/114","63/35106",0.0317460317460317,9.77610693400167,3.97945935441384,0.0179451161992129,0.069877149543514,0.0328649527528286,"HORVU.MOREX.r3.6HG0569590/HORVU.MOREX.r3.6HG0596080",2
"spermidine biosynthesis","spermidine biosynthesis","spermidine biosynthesis","1/114","6/35106",0.166666666666667,51.3245614035088,7.03646605674179,0.0193277222141635,0.069877149543514,0.0328649527528286,"HORVU.MOREX.r3.7HG0708730",1
"meiotic double strand break initiation","meiotic double strand break initiation","meiotic double strand break initiation","1/114","10/35106",0.1,30.7947368421053,5.37852602944764,0.0320066850929821,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.7HG0699350",1
"UDP-N-acetylglucosamine biosynthesis","UDP-N-acetylglucosamine biosynthesis","UDP-N-acetylglucosamine biosynthesis","1/114","10/35106",0.1,30.7947368421053,5.37852602944764,0.0320066850929821,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.4HG0356370",1
"MLO-type calcium channel activities","MLO-type calcium channel activities","MLO-type calcium channel activities","1/114","11/35106",0.0909090909090909,27.9952153110048,5.11108432755774,0.0351509533258124,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.1HG0065860",1
"CAMK protein kinase activities","CAMK protein kinase activities","CAMK protein kinase activities","2/114","91/35106",0.021978021978022,6.76807403123193,3.14468383408685,0.0354885756067261,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.2HG0121170/HORVU.MOREX.r3.3HG0264740",2
"serine peptidase activities","serine peptidase activities","serine peptidase activities","2/114","94/35106",0.0212765957446809,6.55207166853303,3.07654351338143,0.0376447185413007,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.4HG0401620/HORVU.MOREX.r3.7HG0743490",2
"CIC-type anion transporter activities","CIC-type anion transporter activities","CIC-type anion transporter activities","1/114","12/35106",0.0833333333333333,25.6622807017544,4.87708084978606,0.0382850975435313,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.2HG0170290",1
"EC_6-2 ligase forming carbon-sulfur bond","EC_6-2 ligase forming carbon-sulfur bond","EC_6-2 ligase forming carbon-sulfur bond","1/114","12/35106",0.0833333333333333,25.6622807017544,4.87708084978606,0.0382850975435313,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.5HG0464670",1
"polyamine degradation","polyamine degradation","polyamine degradation","1/114","12/35106",0.0833333333333333,25.6622807017544,4.87708084978606,0.0382850975435313,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.2HG0194790",1
"degradation","degradation","degradation","2/114","98/35106",0.0204081632653061,6.28464017185822,2.99018005938166,0.0405956201301196,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.2HG0168900/HORVU.MOREX.r3.6HG0542040",2
"contact site protein *(VAP27)","contact site protein *(VAP27)","contact site protein *(VAP27)","1/114","13/35106",0.0769230769230769,23.6882591093117,4.66998120637324,0.0414091500562125,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.6HG0598830",1
"succinate dehydrogenase complex","succinate dehydrogenase complex","succinate dehydrogenase complex","1/114","13/35106",0.0769230769230769,23.6882591093117,4.66998120637324,0.0414091500562125,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.2HG0154110",1
"cold response","cold response","cold response","1/114","14/35106",0.0714285714285714,21.9962406015038,4.48491307193996,0.0445231430717317,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.5HG0513200",1
"iron homeostasis","iron homeostasis","iron homeostasis","1/114","14/35106",0.0714285714285714,21.9962406015038,4.48491307193996,0.0445231430717317,0.0804841432450534,0.0378536843929702,"HORVU.MOREX.r3.1HG0064770",1
"CK protein kinase activities","CK protein kinase activities","CK protein kinase activities","1/114","16/35106",0.0625,19.2467105263158,4.16682653350337,0.0507210789337138,0.0851389539244482,0.040042957052932,"HORVU.MOREX.r3.1HG0030240",1
"cyclic nucleotide-gated cation channel *(CNGC1/2/++)","cyclic nucleotide-gated cation channel *(CNGC1/2/++)","cyclic nucleotide-gated cation channel *(CNGC1/2/++)","1/114","16/35106",0.0625,19.2467105263158,4.16682653350337,0.0507210789337138,0.0851389539244482,0.040042957052932,"HORVU.MOREX.r3.5HG0511820",1
