"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"microtubular network","microtubular network","microtubular network","18/373","108/35106",0.166666666666667,15.686327077748,15.8405850229122,1.15392117436913e-16,8.19284033802082e-15,6.68059627266338e-15,"HORVU.MOREX.r3.1HG0024230/HORVU.MOREX.r3.1HG0074980/HORVU.MOREX.r3.1HG0076800/HORVU.MOREX.r3.2HG0132170/HORVU.MOREX.r3.2HG0184670/HORVU.MOREX.r3.3HG0219790/HORVU.MOREX.r3.3HG0300080/HORVU.MOREX.r3.4HG0333380/HORVU.MOREX.r3.4HG0392120/HORVU.MOREX.r3.4HG0405400/HORVU.MOREX.r3.5HG0432340/HORVU.MOREX.r3.5HG0468240/HORVU.MOREX.r3.5HG0520100/HORVU.MOREX.r3.6HG0589860/HORVU.MOREX.r3.6HG0599140/HORVU.MOREX.r3.6HG0619820/HORVU.MOREX.r3.7HG0647310/HORVU.MOREX.r3.7HG0687260",18
"hemicellulose","hemicellulose","hemicellulose","19/373","165/35106",0.115151515151515,10.8378259809895,13.1262659616347,1.85478864209639e-14,6.58449967944218e-13,5.36912501659481e-13,"HORVU.MOREX.r3.1HG0055480/HORVU.MOREX.r3.1HG0067020/HORVU.MOREX.r3.3HG0221900/HORVU.MOREX.r3.3HG0223500/HORVU.MOREX.r3.3HG0291490/HORVU.MOREX.r3.3HG0298340/HORVU.MOREX.r3.3HG0307560/HORVU.MOREX.r3.3HG0312020/HORVU.MOREX.r3.3HG0312050/HORVU.MOREX.r3.4HG0381260/HORVU.MOREX.r3.4HG0383410/HORVU.MOREX.r3.4HG0383570/HORVU.MOREX.r3.4HG0405920/HORVU.MOREX.r3.4HG0418230/HORVU.MOREX.r3.5HG0525440/HORVU.MOREX.r3.6HG0566220/HORVU.MOREX.r3.7HG0698110/HORVU.MOREX.r3.7HG0711200/HORVU.MOREX.r3.7HG0726260",19
"cellulose","cellulose","cellulose","11/373","54/35106",0.203703703703704,19.1721775394698,13.84889766109,1.07002205803629e-11,2.53238553735255e-10,2.06495484884196e-10,"HORVU.MOREX.r3.1HG0027850/HORVU.MOREX.r3.1HG0041280/HORVU.MOREX.r3.2HG0111610/HORVU.MOREX.r3.2HG0192540/HORVU.MOREX.r3.3HG0288960/HORVU.MOREX.r3.4HG0340370/HORVU.MOREX.r3.5HG0482670/HORVU.MOREX.r3.5HG0511330/HORVU.MOREX.r3.5HG0530450/HORVU.MOREX.r3.6HG0550800/HORVU.MOREX.r3.6HG0607960",11
"pectin","pectin","pectin","9/373","159/35106",0.0566037735849057,5.32743183772573,5.66750098830125,5.50088259128966e-05,0.000860353550639214,0.000701548484583495,"HORVU.MOREX.r3.2HG0111640/HORVU.MOREX.r3.3HG0274450/HORVU.MOREX.r3.4HG0382260/HORVU.MOREX.r3.4HG0391100/HORVU.MOREX.r3.6HG0564510/HORVU.MOREX.r3.6HG0617300/HORVU.MOREX.r3.7HG0663150/HORVU.MOREX.r3.7HG0672060/HORVU.MOREX.r3.7HG0716400",9
"cytokinin","cytokinin","cytokinin","7/373","95/35106",0.0736842105263158,6.93500776068858,6.00272700189077,7.16109274361156e-05,0.000860353550639214,0.000701548484583495,"HORVU.MOREX.r3.2HG0170250/HORVU.MOREX.r3.2HG0211040/HORVU.MOREX.r3.3HG0321410/HORVU.MOREX.r3.4HG0350240/HORVU.MOREX.r3.5HG0460770/HORVU.MOREX.r3.6HG0568450/HORVU.MOREX.r3.6HG0624390",7
"phosphorylation","phosphorylation","phosphorylation","22/373","815/35106",0.0269938650306748,2.5406075757825,4.61156691550303,7.2705933856835e-05,0.000860353550639214,0.000701548484583495,"HORVU.MOREX.r3.1HG0057490/HORVU.MOREX.r3.1HG0062140/HORVU.MOREX.r3.2HG0123080/HORVU.MOREX.r3.2HG0168350/HORVU.MOREX.r3.2HG0180710/HORVU.MOREX.r3.2HG0183930/HORVU.MOREX.r3.2HG0189950/HORVU.MOREX.r3.2HG0214260/HORVU.MOREX.r3.3HG0245080/HORVU.MOREX.r3.3HG0247420/HORVU.MOREX.r3.3HG0270750/HORVU.MOREX.r3.4HG0354250/HORVU.MOREX.r3.4HG0405780/HORVU.MOREX.r3.5HG0454300/HORVU.MOREX.r3.5HG0477460/HORVU.MOREX.r3.6HG0542970/HORVU.MOREX.r3.6HG0606710/HORVU.MOREX.r3.6HG0611640/HORVU.MOREX.r3.7HG0685970/HORVU.MOREX.r3.7HG0720050/HORVU.MOREX.r3.7HG0722360/HORVU.MOREX.r3.7HG0743900",22
"cellular growth coordination","cellular growth coordination","cellular growth coordination","2/373","2/35106",1,94.1179624664879,13.6470227593858,0.000112590421717731,0.00114198856313699,0.000931198976612815,"HORVU.MOREX.r3.2HG0143250/HORVU.MOREX.r3.3HG0227750",2
"ROP-GTPase regulatory system","ROP-GTPase regulatory system","ROP-GTPase regulatory system","5/373","53/35106",0.0943396226415094,8.87905306287622,5.94863223434923,0.00024888136034135,0.00220882207302948,0.00180111510773346,"HORVU.MOREX.r3.3HG0309760/HORVU.MOREX.r3.4HG0390910/HORVU.MOREX.r3.5HG0460300/HORVU.MOREX.r3.5HG0501980/HORVU.MOREX.r3.6HG0609900",5
"cytokinesis","cytokinesis","cytokinesis","6/373","89/35106",0.0674157303370786,6.34503117751604,5.23206986334154,0.000382522516598939,0.00301767763094719,0.00246067115940838,"HORVU.MOREX.r3.2HG0109850/HORVU.MOREX.r3.2HG0126960/HORVU.MOREX.r3.2HG0156930/HORVU.MOREX.r3.2HG0199160/HORVU.MOREX.r3.2HG0209810/HORVU.MOREX.r3.6HG0595110",6
"microfilament network","microfilament network","microfilament network","7/373","132/35106",0.053030303030303,4.99110407019254,4.76074721003133,0.000546730619693229,0.00370188506539917,0.0030185867842395,"HORVU.MOREX.r3.1HG0080900/HORVU.MOREX.r3.3HG0246420/HORVU.MOREX.r3.3HG0259870/HORVU.MOREX.r3.3HG0273340/HORVU.MOREX.r3.3HG0305770/HORVU.MOREX.r3.5HG0508870/HORVU.MOREX.r3.5HG0526120",7
