"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ABCB-type transporter *(MDR/PGP)","ABCB-type transporter *(MDR/PGP)","ABCB-type transporter *(MDR/PGP)","3/519","20/35106",0.15,10.1462427745665,5.01190134768919,0.00303681831921788,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.4HG0386920/HORVU.MOREX.r3.7HG0700440/HORVU.MOREX.r3.7HG0700460",3
"beta-galactosidase *(BGAL17)","beta-galactosidase *(BGAL17)","beta-galactosidase *(BGAL17)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.1HG0080850",1
"beta-galactosidase *(BGAL9)","beta-galactosidase *(BGAL9)","beta-galactosidase *(BGAL9)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.5HG0463600",1
"catalytic protein *(SPO11-1)","catalytic protein *(SPO11-1)","catalytic protein *(SPO11-1)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.5HG0511100",1
"scaffold component *(SAC3b)","scaffold component *(SAC3b)","scaffold component *(SAC3b)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.2HG0119040",1
"ubiquitin-binding adaptor *(UFD3)","ubiquitin-binding adaptor *(UFD3)","ubiquitin-binding adaptor *(UFD3)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.2HG0154580",1
"SD-2 protein kinase","SD-2 protein kinase","SD-2 protein kinase","3/519","40/35106",0.075,5.07312138728324,3.15737346824017,0.0211784439331442,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.1HG0025600/HORVU.MOREX.r3.3HG0279070/HORVU.MOREX.r3.7HG0676380",3
"ALA-ALIS flippase complex","ALA-ALIS flippase complex","ALA-ALIS flippase complex","2/519","17/35106",0.117647058823529,7.95783747024822,3.51499705401162,0.0256191043722947,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.1HG0034380/HORVU.MOREX.r3.3HG0257460",2
"component *(DRD1)","component *(DRD1)","component *(DRD1)","1/519","2/35106",0.5,33.8208092485549,5.68588014269697,0.0293494495150686,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.5HG0501840",1
"component *(SPT20/ADA5)","component *(SPT20/ADA5)","component *(SPT20/ADA5)","1/519","2/35106",0.5,33.8208092485549,5.68588014269697,0.0293494495150686,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.3HG0220910",1
"component *(TAD3)","component *(TAD3)","component *(TAD3)","1/519","2/35106",0.5,33.8208092485549,5.68588014269697,0.0293494495150686,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.7HG0650560",1
"ribosome assembly GTPase *(LSG1)","ribosome assembly GTPase *(LSG1)","ribosome assembly GTPase *(LSG1)","1/519","2/35106",0.5,33.8208092485549,5.68588014269697,0.0293494495150686,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.5HG0426280",1
"scaffold component *(SAC3a)","scaffold component *(SAC3a)","scaffold component *(SAC3a)","1/519","2/35106",0.5,33.8208092485549,5.68588014269697,0.0293494495150686,0.0722447988063226,0.0356471046741724,"HORVU.MOREX.r3.3HG0303320",1
"deubiquitinase *(UBP1-2)","deubiquitinase *(UBP1-2)","deubiquitinase *(UBP1-2)","1/519","3/35106",0.333333333333333,22.5472061657033,4.57184184206901,0.0437001683990041,0.0861392443181297,0.0425029166043403,"HORVU.MOREX.r3.5HG0493830",1
"E2 ubiquitin-conjugating enzyme *(UBC22)","E2 ubiquitin-conjugating enzyme *(UBC22)","E2 ubiquitin-conjugating enzyme *(UBC22)","1/519","3/35106",0.333333333333333,22.5472061657033,4.57184184206901,0.0437001683990041,0.0861392443181297,0.0425029166043403,"HORVU.MOREX.r3.6HG0570430",1
"regulatory component B","regulatory component B","regulatory component B","1/519","3/35106",0.333333333333333,22.5472061657033,4.57184184206901,0.0437001683990041,0.0861392443181297,0.0425029166043403,"HORVU.MOREX.r3.7HG0717590",1
"3-ketoacyl-CoA synthase *(KCS)","3-ketoacyl-CoA synthase *(KCS)","3-ketoacyl-CoA synthase *(KCS)","3/519","54/35106",0.0555555555555556,3.75786769428388,2.48442348875673,0.0457614735440064,0.0861392443181297,0.0425029166043403,"HORVU.MOREX.r3.4HG0361130/HORVU.MOREX.r3.4HG0392320/HORVU.MOREX.r3.4HG0395960",3
"E3 ubiquitin ligase component *(Doa10)","E3 ubiquitin ligase component *(Doa10)","E3 ubiquitin ligase component *(Doa10)","1/519","4/35106",0.25,16.9104046242775,3.89813620624849,0.0578391198447756,0.092542591751641,0.0456624630353492,"HORVU.MOREX.r3.7HG0713440",1
"molecular co-chaperone *(DjC43/44)","molecular co-chaperone *(DjC43/44)","molecular co-chaperone *(DjC43/44)","1/519","4/35106",0.25,16.9104046242775,3.89813620624849,0.0578391198447756,0.092542591751641,0.0456624630353492,"HORVU.MOREX.r3.3HG0330450",1
"phospholipase-D *(PLD-alpha)","phospholipase-D *(PLD-alpha)","phospholipase-D *(PLD-alpha)","1/519","4/35106",0.25,16.9104046242775,3.89813620624849,0.0578391198447756,0.092542591751641,0.0456624630353492,"HORVU.MOREX.r3.3HG0241720",1
