"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Lectin-type receptor-like protein kinase activities","Lectin-type receptor-like protein kinase activities","Lectin-type receptor-like protein kinase activities","9/101","140/35106",0.0642857142857143,22.3446958981612,13.5928695029256,3.0099828247737e-10,1.17389330166174e-08,6.01996564954741e-09,"HORVU.MOREX.r3.2HG0108940/HORVU.MOREX.r3.2HG0109070/HORVU.MOREX.r3.2HG0208330/HORVU.MOREX.r3.3HG0293940/HORVU.MOREX.r3.3HG0293970/HORVU.MOREX.r3.5HG0513630/HORVU.MOREX.r3.6HG0629440/HORVU.MOREX.r3.7HG0657520/HORVU.MOREX.r3.7HG0737420",9
"contact site modulator *(VST)","contact site modulator *(VST)","contact site modulator *(VST)","2/101","2/35106",1,347.584158415842,26.3284648805529,8.19541684214799e-06,0.000159810628421886,8.19541684214799e-05,"HORVU.MOREX.r3.2HG0135510/HORVU.MOREX.r3.7HG0701640",2
"DUF26 protein kinase","DUF26 protein kinase","DUF26 protein kinase","3/101","40/35106",0.075,26.0688118811881,8.52120017026309,0.000211347580175155,0.00274751854227702,0.00140898386783437,"HORVU.MOREX.r3.1HG0089010/HORVU.MOREX.r3.1HG0092660/HORVU.MOREX.r3.2HG0138880",3
"LysM protein kinase","LysM protein kinase","LysM protein kinase","2/101","9/35106",0.222222222222222,77.2409240924092,12.2872457113989,0.000291176383047796,0.00283896973471601,0.00145588191523898,"HORVU.MOREX.r3.6HG0574360/HORVU.MOREX.r3.6HG0633720",2
"Hsp70 chaperone activities","Hsp70 chaperone activities","Hsp70 chaperone activities","2/101","11/35106",0.181818181818182,63.1971197119712,11.0821526290471,0.000443184305551592,0.00345683758330242,0.00177273722220637,"HORVU.MOREX.r3.1HG0029060/HORVU.MOREX.r3.4HG0387870",2
"SUMO conjugation (sumoylation)","SUMO conjugation (sumoylation)","SUMO conjugation (sumoylation)","2/101","18/35106",0.111111111111111,38.6204620462046,8.57553463134609,0.00121676521952549,0.00790897392691567,0.00405588406508496,"HORVU.MOREX.r3.2HG0129980/HORVU.MOREX.r3.2HG0186230",2
"component *(SEC6)","component *(SEC6)","component *(SEC6)","1/101","1/35106",1,347.584158415842,18.616770891211,0.00287700108243594,0.0124670046905557,0.00639333573874653,"HORVU.MOREX.r3.6HG0614830",1
"mitochondrial fission factor *(NETWORK/ELM1)","mitochondrial fission factor *(NETWORK/ELM1)","mitochondrial fission factor *(NETWORK/ELM1)","1/101","1/35106",1,347.584158415842,18.616770891211,0.00287700108243594,0.0124670046905557,0.00639333573874653,"HORVU.MOREX.r3.2HG0166590",1
"regulatory factor *(NEAP)","regulatory factor *(NEAP)","regulatory factor *(NEAP)","1/101","1/35106",1,347.584158415842,18.616770891211,0.00287700108243594,0.0124670046905557,0.00639333573874653,"HORVU.MOREX.r3.1HG0017760",1
"fungal elicitor response","fungal elicitor response","fungal elicitor response","1/101","2/35106",0.5,173.792079207921,13.1262496527756,0.00574580674802994,0.0224086463173168,0.0114916134960599,"HORVU.MOREX.r3.4HG0409440",1
"aromatic amino acid transporter *(HAAAP)","aromatic amino acid transporter *(HAAAP)","aromatic amino acid transporter *(HAAAP)","1/101","3/35106",0.333333333333333,115.861386138614,10.6866773613753,0.00860644010942613,0.0305137422061472,0.0156480729262293,"HORVU.MOREX.r3.4HG0391170",1
"cytosolic NADP-dependent malic enzyme","cytosolic NADP-dependent malic enzyme","cytosolic NADP-dependent malic enzyme","1/101","4/35106",0.25,86.8960396039604,9.22820725347865,0.011458924214743,0.0372415036979149,0.0190982070245717,"HORVU.MOREX.r3.1HG0029730",1
"SP-type sugar transporter activities","SP-type sugar transporter activities","SP-type sugar transporter activities","2/101","60/35106",0.0333333333333333,11.5861386138614,4.4083301031934,0.0130146768756057,0.039044030626817,0.0200225798086241,"HORVU.MOREX.r3.4HG0399620/HORVU.MOREX.r3.7HG0648500",2
"apocarotenoids","apocarotenoids","apocarotenoids","1/101","7/35106",0.142857142857143,49.6548797736917,6.91525479904885,0.0199677105112678,0.0519160473292962,0.0266236140150237,"HORVU.MOREX.r3.3HG0320900",1
"Hsp90-SGT1-RAR1 chaperone complex","Hsp90-SGT1-RAR1 chaperone complex","Hsp90-SGT1-RAR1 chaperone complex","1/101","7/35106",0.142857142857143,49.6548797736917,6.91525479904885,0.0199677105112678,0.0519160473292962,0.0266236140150237,"HORVU.MOREX.r3.3HG0273490",1
"UMF15-type solute transporter","UMF15-type solute transporter","UMF15-type solute transporter","1/101","9/35106",0.111111111111111,38.6204620462046,6.06304116117206,0.0255999080899441,0.0623997759692386,0.0319998851124301,"HORVU.MOREX.r3.5HG0476390",1
"calnexin/calreticulin chaperone system","calnexin/calreticulin chaperone system","calnexin/calreticulin chaperone system","1/101","12/35106",0.0833333333333333,28.9653465346535,5.2044462427358,0.0339881684600493,0.0697651878916801,0.0357770194316308,"HORVU.MOREX.r3.6HG0615790",1
"choline homeostasis","choline homeostasis","choline homeostasis","1/101","12/35106",0.0833333333333333,28.9653465346535,5.2044462427358,0.0339881684600493,0.0697651878916801,0.0357770194316308,"HORVU.MOREX.r3.1HG0026240",1
"SulP-type transporter activities","SulP-type transporter activities","SulP-type transporter activities","1/101","12/35106",0.0833333333333333,28.9653465346535,5.2044462427358,0.0339881684600493,0.0697651878916801,0.0357770194316308,"HORVU.MOREX.r3.5HG0484810",1
"group-P2 ATPase activities","group-P2 ATPase activities","group-P2 ATPase activities","1/101","15/35106",0.0666666666666667,23.1722772277228,4.61358144643625,0.0423049261769954,0.0824946060451411,0.0423049261769954,"HORVU.MOREX.r3.7HG0682170",1
"WRKY transcription factor activity","WRKY transcription factor activity","WRKY transcription factor activity","2/101","126/35106",0.0158730158730159,5.51720886374352,2.72851079416418,0.05126729078583,0.09521068288797,0.0488259912246,"HORVU.MOREX.r3.1HG0080920/HORVU.MOREX.r3.1HG0080940",2
